rank_seen,full_name,stargazers_count,clone_url,html_url,language,description,cmake_indicator,fail_reason
7,bitcoin/bitcoin,86538,https://github.com/bitcoin/bitcoin.git,https://github.com/bitcoin/bitcoin,cpp,Bitcoin Core integration/staging tree,targets,autoql_exit_1
10,tesseract-ocr/tesseract,70616,https://github.com/tesseract-ocr/tesseract.git,https://github.com/tesseract-ocr/tesseract,cpp,Tesseract Open Source OCR Engine (main repository),targets,autoql_exit_1
17,x64dbg/x64dbg,47134,https://github.com/x64dbg/x64dbg.git,https://github.com/x64dbg/x64dbg,cpp,An open-source user mode debugger for Windows. Optimized for reverse engineering and malware analysis.,targets,autoql_exit_1
20,ClickHouse/ClickHouse,43696,https://github.com/ClickHouse/ClickHouse.git,https://github.com/ClickHouse/ClickHouse,cpp,ClickHouse® is a real-time analytics database management system,targets,autoql_exit_1
24,google/leveldb,38286,https://github.com/google/leveldb.git,https://github.com/google/leveldb,cpp,LevelDB is a fast key-value storage library written at Google that provides an ordered mapping from string keys to string values.,targets,autoql_exit_1
36,SerenityOS/serenity,32532,https://github.com/SerenityOS/serenity.git,https://github.com/SerenityOS/serenity,cpp,The Serenity Operating System 🐞,targets,autoql_exit_1
38,hyprwm/Hyprland,31637,https://github.com/hyprwm/Hyprland.git,https://github.com/hyprwm/Hyprland,cpp,"Hyprland is an independent, highly customizable, dynamic tiling Wayland compositor that doesn't sacrifice on its looks.",targets,autoql_exit_1
39,facebook/rocksdb,30892,https://github.com/facebook/rocksdb.git,https://github.com/facebook/rocksdb,cpp,"A library that provides an embeddable, persistent key-value store for fast storage.",targets,autoql_exit_1
43,facebook/folly,30001,https://github.com/facebook/folly.git,https://github.com/facebook/folly,cpp,An open-source C++ library developed and used at Facebook.,targets,autoql_exit_1
46,flameshot-org/flameshot,28111,https://github.com/flameshot-org/flameshot.git,https://github.com/flameshot-org/flameshot,cpp,Powerful yet simple to use screenshot software :desktop_computer: :camera_flash:,targets,autoql_exit_1
49,aristocratos/btop,27729,https://github.com/aristocratos/btop.git,https://github.com/aristocratos/btop,cpp,A monitor of resources,targets,autoql_exit_1
57,shadps4-emu/shadPS4,26857,https://github.com/shadps4-emu/shadPS4.git,https://github.com/shadps4-emu/shadPS4,cpp,"PlayStation 4 emulator for Windows, Linux and macOS written in C++",targets,autoql_exit_1
67,typesense/typesense,24615,https://github.com/typesense/typesense.git,https://github.com/typesense/typesense,cpp,"Open Source alternative to Algolia + Pinecone and an Easier-to-Use alternative to ElasticSearch ⚡ 🔍 ✨ Fast, typo tolerant, in-memory fuzzy Search Engine for building delightful search experiences",targets,autoql_exit_1
73,sqlitebrowser/sqlitebrowser,23136,https://github.com/sqlitebrowser/sqlitebrowser.git,https://github.com/sqlitebrowser/sqlitebrowser,cpp,"Official home of the DB Browser for SQLite (DB4S) project. Previously known as ""SQLite Database Browser"" and ""Database Browser for SQLite"". Website at: ",targets,autoql_exit_1
74,osquery/osquery,22839,https://github.com/osquery/osquery.git,https://github.com/osquery/osquery,cpp,"SQL powered operating system instrumentation, monitoring, and analytics.",targets,autoql_exit_1
78,ml-explore/mlx,22633,https://github.com/ml-explore/mlx.git,https://github.com/ml-explore/mlx,cpp,MLX: An array framework for Apple silicon,targets,autoql_exit_1
85,xbmc/xbmc,19979,https://github.com/xbmc/xbmc.git,https://github.com/xbmc/xbmc,cpp,"Kodi is an award-winning free and open source home theater/media center software and entertainment hub for digital media. With its beautiful interface and powerful skinning engine, it's available for Android, BSD, Linux, macOS, iOS, tvOS and Windows.",targets,autoql_exit_1
92,swoole/swoole-src,18772,https://github.com/swoole/swoole-src.git,https://github.com/swoole/swoole-src,cpp,🚀 Coroutine-based concurrency library for PHP,targets,autoql_exit_1
96,MaaAssistantArknights/MaaAssistantArknights,18463,https://github.com/MaaAssistantArknights/MaaAssistantArknights.git,https://github.com/MaaAssistantArknights/MaaAssistantArknights,cpp,"《明日方舟》小助手，全日常一键长草！| A one-click tool for the daily tasks of Arknights, supporting all clients.",targets,autoql_exit_1
104,manticoresoftware/manticoresearch,11381,https://github.com/manticoresoftware/manticoresearch.git,https://github.com/manticoresoftware/manticoresearch,cpp,Easy to use open source fast database for search | Good alternative to Elasticsearch now | Drop-in replacement for E in the ELK stack,targets,autoql_exit_1
109,SoftFever/OrcaSlicer,11294,https://github.com/SoftFever/OrcaSlicer.git,https://github.com/SoftFever/OrcaSlicer,cpp,"G-code generator for 3D printers (Bambu, Prusa, Voron, VzBot, RatRig, Creality, etc.)",targets,autoql_exit_1
112,google-deepmind/mujoco,10981,https://github.com/google-deepmind/mujoco.git,https://github.com/google-deepmind/mujoco,cpp,Multi-Joint dynamics with Contact. A general purpose physics simulator.,targets,autoql_exit_1
114,apache/thrift,10814,https://github.com/apache/thrift.git,https://github.com/apache/thrift,cpp,Apache Thrift,targets,autoql_exit_1
125,PX4/PX4-Autopilot,10351,https://github.com/PX4/PX4-Autopilot.git,https://github.com/PX4/PX4-Autopilot,cpp,PX4 Autopilot Software,targets,autoql_exit_1
131,colmap/colmap,10159,https://github.com/colmap/colmap.git,https://github.com/colmap/colmap,cpp,COLMAP - Structure-from-Motion and Multi-View Stereo,targets,autoql_exit_1
135,raulmur/ORB_SLAM2,9984,https://github.com/raulmur/ORB_SLAM2.git,https://github.com/raulmur/ORB_SLAM2,cpp,"Real-Time SLAM for Monocular, Stereo and RGB-D Cameras, with Loop Detection and Relocalization Capabilities",targets,autoql_exit_1
136,monero-project/monero,9980,https://github.com/monero-project/monero.git,https://github.com/monero-project/monero,cpp,"Monero: the secure, private, untraceable cryptocurrency",targets,autoql_exit_1
140,bpftrace/bpftrace,9698,https://github.com/bpftrace/bpftrace.git,https://github.com/bpftrace/bpftrace,cpp,High-level tracing language for Linux,targets,autoql_exit_1
148,google/re2,9482,https://github.com/google/re2.git,https://github.com/google/re2,cpp,"RE2 is a fast, safe, thread-friendly alternative to backtracking regular expression engines like those used in PCRE, Perl, and Python. It is a C++ library.",targets,autoql_exit_1
164,ange-yaghi/engine-sim,9165,https://github.com/ange-yaghi/engine-sim.git,https://github.com/ange-yaghi/engine-sim,cpp,Combustion engine simulator that generates realistic audio.,targets,autoql_exit_1
166,Stellarium/stellarium,9146,https://github.com/Stellarium/stellarium.git,https://github.com/Stellarium/stellarium,cpp,"Stellarium is a free GPL software which renders realistic skies in real time with OpenGL. It is available for Linux/Unix, Windows and macOS. With Stellarium, you really see what you can see with your eyes, binoculars or a small telescope.",targets,autoql_exit_1
167,nodegui/nodegui,9145,https://github.com/nodegui/nodegui.git,https://github.com/nodegui/nodegui,cpp,A library for building cross-platform native desktop applications with Node.js and CSS  🚀.  React NodeGui : https://react.nodegui.org and Vue NodeGui: https://vue.nodegui.org,targets,autoql_exit_1
170,diasurgical/DevilutionX,9084,https://github.com/diasurgical/DevilutionX.git,https://github.com/diasurgical/DevilutionX,cpp,Diablo build for modern operating systems,targets,autoql_exit_1
176,scylladb/seastar,8933,https://github.com/scylladb/seastar.git,https://github.com/scylladb/seastar,cpp,High performance server-side application framework,targets,autoql_exit_1
178,ggerganov/kbd-audio,8921,https://github.com/ggerganov/kbd-audio.git,https://github.com/ggerganov/kbd-audio,cpp,🎤⌨️ Acoustic keyboard eavesdropping,targets,autoql_exit_1
179,KDE/krita,8897,https://github.com/KDE/krita.git,https://github.com/KDE/krita,cpp,Krita is a free and open source cross-platform application that offers an end-to-end solution for creating digital art files from scratch built on the KDE and Qt frameworks.,targets,autoql_exit_1
183,olive-editor/olive,8820,https://github.com/olive-editor/olive.git,https://github.com/olive-editor/olive,cpp,Free open-source non-linear video editor,targets,autoql_exit_1
185,canonical/multipass,8732,https://github.com/canonical/multipass.git,https://github.com/canonical/multipass,cpp,Multipass orchestrates virtual Ubuntu instances,targets,autoql_exit_1
