rank_seen,full_name,stargazers_count,clone_url,html_url,language,description,cmake_indicator
7,bitcoin/bitcoin,86538,https://github.com/bitcoin/bitcoin.git,https://github.com/bitcoin/bitcoin,cpp,Bitcoin Core integration/staging tree,targets
10,tesseract-ocr/tesseract,70616,https://github.com/tesseract-ocr/tesseract.git,https://github.com/tesseract-ocr/tesseract,cpp,Tesseract Open Source OCR Engine (main repository),targets
11,protocolbuffers/protobuf,69491,https://github.com/protocolbuffers/protobuf.git,https://github.com/protocolbuffers/protobuf,cpp,Protocol Buffers - Google's data interchange format,targets
16,nlohmann/json,47725,https://github.com/nlohmann/json.git,https://github.com/nlohmann/json,cpp,JSON for Modern C++,targets
18,ggml-org/whisper.cpp,44145,https://github.com/ggml-org/whisper.cpp.git,https://github.com/ggml-org/whisper.cpp,cpp,Port of OpenAI's Whisper model in C/C++,targets
31,duckdb/duckdb,33825,https://github.com/duckdb/duckdb.git,https://github.com/duckdb/duckdb,cpp,DuckDB is an analytical in-process SQL database management system,targets
52,gabime/spdlog,27562,https://github.com/gabime/spdlog.git,https://github.com/gabime/spdlog,cpp,Fast C++ logging library.,targets
53,dmlc/xgboost,27553,https://github.com/dmlc/xgboost.git,https://github.com/dmlc/xgboost,cpp,"Scalable, Portable and Distributed Gradient Boosting (GBDT, GBRT or GBM) Library,  for Python, R, Java, Scala, C++ and more. Runs on single machine, Hadoop, Spark, Dask, Flink and DataFlow",targets
66,google/flatbuffers,24941,https://github.com/google/flatbuffers.git,https://github.com/google/flatbuffers,cpp,FlatBuffers: Memory Efficient Serialization Library,targets
75,fmtlib/fmt,22769,https://github.com/fmtlib/fmt.git,https://github.com/fmtlib/fmt,cpp,A modern formatting library,targets
76,ssloy/tinyrenderer,22735,https://github.com/ssloy/tinyrenderer.git,https://github.com/ssloy/tinyrenderer,cpp,A brief computer graphics / rendering course,targets
77,simdjson/simdjson,22646,https://github.com/simdjson/simdjson.git,https://github.com/simdjson/simdjson,cpp,"Parsing gigabytes of JSON per second : used by Facebook/Meta Velox, the Node.js runtime, ClickHouse, WatermelonDB, Apache Doris, Milvus, StarRocks",targets
79,Tencent/ncnn,22213,https://github.com/Tencent/ncnn.git,https://github.com/Tencent/ncnn,cpp,ncnn is a high-performance neural network inference framework optimized for the mobile platform,targets
87,trojan-gfw/trojan,19489,https://github.com/trojan-gfw/trojan.git,https://github.com/trojan-gfw/trojan,cpp,An unidentifiable mechanism that helps you bypass GFW.,targets
103,SFML/SFML,11401,https://github.com/SFML/SFML.git,https://github.com/SFML/SFML,cpp,Simple and Fast Multimedia Library,targets
105,taskflow/taskflow,11346,https://github.com/taskflow/taskflow.git,https://github.com/taskflow/taskflow,cpp,A General-purpose Task-parallel Programming System using Modern C++,targets
118,zeromq/libzmq,10588,https://github.com/zeromq/libzmq.git,https://github.com/zeromq/libzmq,cpp,"ZeroMQ core engine in C++, implements ZMTP/3.1",targets
130,rr-debugger/rr,10199,https://github.com/rr-debugger/rr.git,https://github.com/rr-debugger/rr,cpp,Record and Replay Framework,targets
139,google/benchmark,9799,https://github.com/google/benchmark.git,https://github.com/google/benchmark,cpp,A microbenchmark support library,targets
171,electronicarts/EASTL,9008,https://github.com/electronicarts/EASTL.git,https://github.com/electronicarts/EASTL,cpp,EASTL stands for Electronic Arts Standard Template Library.  It is an extensive and robust implementation that has an emphasis on high performance.,targets
174,ArthurSonzogni/FTXUI,8987,https://github.com/ArthurSonzogni/FTXUI.git,https://github.com/ArthurSonzogni/FTXUI,cpp,:computer: C++ Functional Terminal User Interface. :heart:,targets
178,ggerganov/kbd-audio,8921,https://github.com/ggerganov/kbd-audio.git,https://github.com/ggerganov/kbd-audio,cpp,🎤⌨️ Acoustic keyboard eavesdropping,targets
180,gperftools/gperftools,8854,https://github.com/gperftools/gperftools.git,https://github.com/gperftools/gperftools,cpp,Main gperftools repository,targets
202,intel/hyperscan,5175,https://github.com/intel/hyperscan.git,https://github.com/intel/hyperscan,cpp,High-performance regular expression matching library,targets
207,asmuth/clip,5154,https://github.com/asmuth/clip.git,https://github.com/asmuth/clip,cpp,Create charts from the command line,targets
211,lief-project/LIEF,5111,https://github.com/lief-project/LIEF.git,https://github.com/lief-project/LIEF,cpp,"LIEF - Library to Instrument Executable Formats (C++, Python, Rust)",targets
212,google/highway,5100,https://github.com/google/highway.git,https://github.com/google/highway,cpp,"Performance-portable, length-agnostic SIMD with runtime dispatch",targets
213,patriciogonzalezvivo/glslViewer,5098,https://github.com/patriciogonzalezvivo/glslViewer.git,https://github.com/patriciogonzalezvivo/glslViewer,cpp,Console-based GLSL Sandbox for 2D/3D shaders,targets
214,harfbuzz/harfbuzz,5075,https://github.com/harfbuzz/harfbuzz.git,https://github.com/harfbuzz/harfbuzz,cpp,HarfBuzz text shaping engine,targets
221,mmp/pbrt-v3,5033,https://github.com/mmp/pbrt-v3.git,https://github.com/mmp/pbrt-v3,cpp,"Source code for pbrt, the renderer described in the third edition of ""Physically Based Rendering: From Theory To Implementation"", by Matt Pharr, Wenzel Jakob, and Greg Humphreys.",targets
226,luau-lang/luau,4980,https://github.com/luau-lang/luau.git,https://github.com/luau-lang/luau,cpp,"A fast, small, safe, gradually typed embeddable scripting language derived from Lua",targets
229,nmslib/hnswlib,4961,https://github.com/nmslib/hnswlib.git,https://github.com/nmslib/hnswlib,cpp,Header-only C++/python library for fast approximate nearest neighbors,targets
251,ThePhD/sol2,4751,https://github.com/ThePhD/sol2.git,https://github.com/ThePhD/sol2,cpp,"Sol3 (sol2 v3.0) - a C++ <-> Lua API wrapper with advanced features and top notch performance - is here, and it's great! Documentation:",targets
258,lava/matplotlib-cpp,4685,https://github.com/lava/matplotlib-cpp.git,https://github.com/lava/matplotlib-cpp,cpp,Extremely simple yet powerful header-only C++ plotting library built on the popular matplotlib,targets
260,shader-slang/slang,4679,https://github.com/shader-slang/slang.git,https://github.com/shader-slang/slang,cpp,Making it easier to work with shaders,targets
266,paolo-projects/auto-unlocker,4640,https://github.com/paolo-projects/auto-unlocker.git,https://github.com/paolo-projects/auto-unlocker,cpp,Unlocker for VMWare macOS,targets
268,yedf2/handy,4617,https://github.com/yedf2/handy.git,https://github.com/yedf2/handy,cpp,🔥简洁易用的C++11网络库 / 支持单机千万并发连接 / a simple C++11 network server framework,targets
272,jarro2783/cxxopts,4601,https://github.com/jarro2783/cxxopts.git,https://github.com/jarro2783/cxxopts,cpp,Lightweight C++ command line option parser,targets
